backend,bits,tableSize,workerCount,exactMeanMs,exactStdMs,backendMeanMs,backendStdMs,speedGain,relL2Error,maxAbsError
optimized,0,0,1,6.9675177900000005,2.108574272815584,6.192637909999998,0.28863721917842994,1.125129208466833,1.8437346311132115e-08,1.862645149230957e-09
approx,5,32,1,6.9675177900000005,2.108574272815584,5.967180140000005,0.4422326045837175,1.1676399281621141,0.024634856486975026,0.0023120027035474777
approx,6,64,1,6.9675177900000005,2.108574272815584,6.049932489999996,0.3220520966981404,1.1516686841574995,0.01592900557722734,0.0011027920991182327
approx,7,128,1,6.9675177900000005,2.108574272815584,5.77287446000002,0.22779308927598926,1.2069408122898928,0.005727574256163318,0.0003932258114218712
approx,8,256,1,6.9675177900000005,2.108574272815584,5.700160839999998,0.3091670623886045,1.2223370507559228,0.0019576393836641726,0.0001448085531592369
approx,9,512,1,6.9675177900000005,2.108574272815584,6.054072870000001,0.4231714628232958,1.1508810580273046,0.0021305805227021177,0.00016063731163740158
approx,10,1024,1,6.9675177900000005,2.108574272815584,6.018625590000001,0.3972980573840029,1.1576592838033641,0.0013319073690052606,8.815061300992966e-05
approx,11,2048,1,6.9675177900000005,2.108574272815584,5.929308519999995,0.5263182421490233,1.175097866217966,0.0002456077808616889,1.7768237739801407e-05
approx,12,4096,1,6.9675177900000005,2.108574272815584,6.1664129900000075,0.40704669058662335,1.1299142307365941,0.00015719104648176244,1.2767501175403595e-05
optimized,0,0,2,7.045475179999994,0.3529144976164946,6.241929390000005,0.4580834264711687,1.1287335597367256,1.8437346311132115e-08,1.862645149230957e-09
approx,5,32,2,7.045475179999994,0.3529144976164946,7.13646483999999,0.292861209551486,0.9872500373728464,0.024634856486975026,0.0023120027035474777
approx,6,64,2,7.045475179999994,0.3529144976164946,7.1740977700000075,0.7906461495438296,0.9820712521457575,0.01592900557722734,0.0011027920991182327
approx,7,128,2,7.045475179999994,0.3529144976164946,6.86046766999998,0.6998890649854936,1.0269671863346912,0.005727574256163318,0.0003932258114218712
approx,8,256,2,7.045475179999994,0.3529144976164946,8.434225060000028,1.6921625889163845,0.8353435116894985,0.0019576393836641726,0.0001448085531592369
approx,9,512,2,7.045475179999994,0.3529144976164946,7.0924970599999515,0.5515623663506011,0.9933701939384438,0.0021305805227021177,0.00016063731163740158
approx,10,1024,2,7.045475179999994,0.3529144976164946,6.570547760000008,0.3663076135099762,1.0722812522406786,0.0013319073690052606,8.815061300992966e-05
approx,11,2048,2,7.045475179999994,0.3529144976164946,6.2972685199999985,0.20304265522222992,1.1188144760897056,0.0002456077808616889,1.7768237739801407e-05
approx,12,4096,2,7.045475179999994,0.3529144976164946,7.021915580000059,0.4501080491769055,1.0033551528399227,0.00015719104648176244,1.2767501175403595e-05
